timestamp,trafo1_kW,trafo2_kW,grid_exchange_kW,PV_kW,lkw_kW,zustellung_kW
2025-01-01 00:00:00,,,,,360.0,110.0
2025-01-01 00:15:00,114.08,18.0,132.07999999999998,0.0,720.0,110.0
2025-01-01 00:30:00,114.08,17.64,131.72,0.0,360.0,110.0
2025-01-01 00:45:00,118.08,17.4,135.48,0.0,360.0,110.0
2025-01-01 01:00:00,115.08,18.0,133.07999999999998,0.0,0.0,110.0
2025-01-01 01:15:00,120.08,18.0,138.07999999999998,0.0,0.0,110.0
2025-01-01 01:30:00,122.08,17.76,139.84,0.0,0.0,110.0
2025-01-01 01:45:00,117.08,17.4,134.48,1.0,720.0,110.0
2025-01-01 02:00:00,104.08,17.88,121.96,0.0,720.0,101.0
2025-01-01 02:15:00,121.08,18.12,139.2,0.0,360.0,101.0
2025-01-01 02:30:00,121.08,18.24,139.32,0.0,360.0,101.0
2025-01-01 02:45:00,122.08,18.12,140.2,0.0,720.0,101.0
2025-01-01 03:00:00,113.08,18.88,131.96,0.0,360.0,92.0
2025-01-01 03:15:00,120.08,18.52,138.6,0.0,360.0,92.0
2025-01-01 03:30:00,122.08,18.4,140.48,0.0,360.0,92.0
2025-01-01 03:45:00,122.08,18.0,140.07999999999998,1.0,0.0,92.0
2025-01-01 04:00:00,116.08,18.64,134.72,0.0,0.0,66.0
2025-01-01 04:15:00,117.08,18.88,135.96,0.0,0.0,66.0
2025-01-01 04:30:00,112.08,17.88,129.96,0.0,0.0,66.0
2025-01-01 04:45:00,121.08,18.0,139.07999999999998,0.0,0.0,66.0
2025-01-01 05:00:00,115.08,18.64,133.72,0.0,0.0,25.5
2025-01-01 05:15:00,122.08,18.52,140.6,0.0,0.0,25.5
2025-01-01 05:30:00,109.08,18.52,127.6,0.0,0.0,1562.5
2025-01-01 05:45:00,104.08,18.12,122.2,1.0,0.0,1562.5
2025-01-01 06:00:00,102.08,18.52,120.6,0.0,0.0,1558.0
2025-01-01 06:15:00,103.08,20.88,123.96,0.0,0.0,1558.0
2025-01-01 06:30:00,106.08,22.0,128.07999999999998,0.0,0.0,1198.0
2025-01-01 06:45:00,112.08,21.76,133.84,0.0,0.0,514.0
2025-01-01 07:00:00,105.08,22.0,127.08,0.0,240.0,16.0
2025-01-01 07:15:00,110.08,22.24,132.32,0.0,480.0,11.5
2025-01-01 07:30:00,109.08,21.52,130.6,0.0,480.0,11.5
2025-01-01 07:45:00,110.08,21.52,131.6,1.0,480.0,11.5
2025-01-01 08:00:00,104.08,22.12,126.2,0.0,240.0,11.5
2025-01-01 08:15:00,111.08,22.24,133.32,0.0,240.0,7.0
2025-01-01 08:30:00,108.08,21.52,129.6,0.0,240.0,7.0
2025-01-01 08:45:00,109.08,21.76,130.84,0.0,480.0,7.0
2025-01-01 09:00:00,94.08,22.88,116.96,0.0,480.0,7.0
2025-01-01 09:15:00,100.08,22.88,122.96,0.0,480.0,7.0
2025-01-01 09:30:00,100.08,22.4,122.47999999999999,0.0,480.0,7.0
2025-01-01 09:45:00,99.08,21.88,120.96,-0.52,240.0,7.0
2025-01-01 10:00:00,94.08,22.76,116.84,-0.52,240.0,0.0
2025-01-01 10:15:00,100.08,22.88,122.96,0.0,480.0,0.0
2025-01-01 10:30:00,99.08,22.12,121.2,0.0,480.0,0.0
2025-01-01 10:45:00,99.08,22.4,121.47999999999999,0.0,480.0,0.0
2025-01-01 11:00:00,93.08,22.76,115.84,0.0,240.0,0.0
2025-01-01 11:15:00,102.08,22.88,124.96,0.0,240.0,0.0
2025-01-01 11:30:00,98.08,22.4,120.47999999999999,0.0,480.0,0.0
2025-01-01 11:45:00,99.08,22.12,121.2,-1.0,480.0,0.0
2025-01-01 12:00:00,98.08,22.52,120.6,0.0,480.0,0.0
2025-01-01 12:15:00,111.08,22.76,133.84,0.0,240.0,0.0
2025-01-01 12:30:00,108.08,22.12,130.2,4.0,0.0,0.0
2025-01-01 12:45:00,106.08,22.12,128.2,5.0,0.0,0.0
2025-01-01 13:00:00,102.08,22.64,124.72,6.0,0.0,0.0
2025-01-01 13:15:00,96.08,22.12,118.2,5.0,0.0,0.0
2025-01-01 13:30:00,85.08,21.4,106.47999999999999,5.0,0.0,0.0
2025-01-01 13:45:00,87.08,21.88,108.96,5.0,0.0,0.0
2025-01-01 14:00:00,88.08,22.12,110.2,5.0,0.0,0.0
2025-01-01 14:15:00,94.08,22.0,116.08,4.0,0.0,0.0
2025-01-01 14:30:00,86.08,21.52,107.6,4.0,0.0,0.0
2025-01-01 14:45:00,90.08,21.24,111.32,4.0,0.0,0.0
2025-01-01 15:00:00,90.08,22.24,112.32,3.0,0.0,0.0
2025-01-01 15:15:00,91.08,22.12,113.2,2.0,0.0,0.0
2025-01-01 15:30:00,90.08,21.76,111.84,2.0,0.0,0.0
2025-01-01 15:45:00,96.08,22.64,118.72,2.0,0.0,0.0
2025-01-01 16:00:00,92.08,22.64,114.72,1.0,0.0,56.5
2025-01-01 16:15:00,99.08,22.88,121.96,1.0,0.0,56.5
2025-01-01 16:30:00,96.08,22.0,118.08,0.0,0.0,56.5
2025-01-01 16:45:00,103.08,22.24,125.32,-1.0,0.0,56.5
2025-01-01 17:00:00,94.08,22.76,116.84,0.0,0.0,56.5
2025-01-01 17:15:00,116.08,22.52,138.6,0.0,0.0,56.5
2025-01-01 17:30:00,115.08,22.52,137.6,0.0,0.0,56.5
2025-01-01 17:45:00,112.08,22.24,134.32,0.0,0.0,56.5
2025-01-01 18:00:00,105.08,22.76,127.84,0.0,0.0,56.5
2025-01-01 18:15:00,99.08,19.12,118.2,0.0,0.0,56.5
2025-01-01 18:30:00,108.08,18.12,126.2,0.0,0.0,56.5
2025-01-01 18:45:00,99.08,18.0,117.08,0.0,360.0,56.5
2025-01-01 19:00:00,102.08,18.64,120.72,0.0,360.0,56.5
2025-01-01 19:15:00,100.08,18.64,118.72,1.0,689.5999999999999,56.5
2025-01-01 19:30:00,104.08,18.24,122.32,0.0,689.5999999999999,56.5
2025-01-01 19:45:00,97.08,17.76,114.84,0.0,329.59999999999997,56.5
2025-01-01 20:00:00,101.08,17.88,118.96,0.0,360.0,43.0
2025-01-01 20:15:00,103.08,18.4,121.47999999999999,0.0,720.0,43.0
2025-01-01 20:30:00,99.08,18.24,117.32,0.0,720.0,43.0
2025-01-01 20:45:00,107.08,18.0,125.08,0.0,720.0,43.0
2025-01-01 21:00:00,102.08,18.88,120.96,1.0,360.0,43.0
2025-01-01 21:15:00,98.08,18.76,116.84,0.0,360.0,43.0
2025-01-01 21:30:00,100.08,18.12,118.2,0.0,0.0,43.0
2025-01-01 21:45:00,108.08,18.12,126.2,0.0,360.0,43.0
2025-01-01 22:00:00,102.08,19.0,121.08,0.0,720.0,110.0
2025-01-01 22:15:00,108.08,18.52,126.6,0.0,720.0,110.0
2025-01-01 22:30:00,94.08,18.0,112.08,0.0,720.0,110.0
2025-01-01 22:45:00,100.08,18.0,118.08,0.0,0.0,110.0
2025-01-01 23:00:00,101.08,18.76,119.84,1.0,0.0,110.0
2025-01-01 23:15:00,108.08,18.88,126.96,0.0,0.0,110.0
2025-01-01 23:30:00,101.08,18.12,119.2,0.0,360.0,110.0
2025-01-01 23:45:00,108.08,18.12,126.2,0.0,720.0,110.0
2025-01-02 00:00:00,96.08,19.0,115.08,0.0,360.0,107.0
2025-01-02 00:15:00,104.08,18.64,122.72,0.0,720.0,107.0
2025-01-02 00:30:00,102.08,18.0,120.08,0.0,360.0,107.0
2025-01-02 00:45:00,108.08,18.12,126.2,0.0,360.0,107.0
2025-01-02 01:00:00,101.08,18.24,119.32,1.0,0.0,102.5
2025-01-02 01:15:00,107.08,18.76,125.84,0.0,0.0,102.5
2025-01-02 01:30:00,99.08,18.24,117.32,0.0,0.0,102.5
2025-01-02 01:45:00,106.08,18.24,124.32,0.0,720.0,102.5
2025-01-02 02:00:00,95.08,18.64,113.72,0.0,720.0,89.0
2025-01-02 02:15:00,108.08,18.64,126.72,0.0,360.0,89.0
2025-01-02 02:30:00,99.08,17.24,116.32,0.0,360.0,89.0
2025-01-02 02:45:00,105.08,17.52,122.6,1.0,720.0,89.0
2025-01-02 03:00:00,101.08,17.76,118.84,0.0,360.0,84.5
2025-01-02 03:15:00,107.08,17.88,124.96,0.0,360.0,84.5
2025-01-02 03:30:00,102.08,17.52,119.6,0.0,360.0,84.5
2025-01-02 03:45:00,100.08,17.4,117.47999999999999,0.0,0.0,84.5
2025-01-02 04:00:00,102.08,17.76,119.84,0.0,0.0,61.0
2025-01-02 04:15:00,100.08,18.24,118.32,0.0,0.0,61.0
2025-01-02 04:30:00,106.08,17.4,123.47999999999999,0.0,0.0,61.0
2025-01-02 04:45:00,106.08,17.4,123.47999999999999,1.0,0.0,61.0
2025-01-02 05:00:00,100.08,18.0,118.08,0.0,0.0,20.5
2025-01-02 05:15:00,102.08,17.88,119.96,0.0,0.0,20.5
2025-01-02 05:30:00,106.08,17.24,123.32,0.0,0.0,1562.5
2025-01-02 05:45:00,96.08,17.4,113.47999999999999,0.0,0.0,1562.5
2025-01-02 06:00:00,98.08,17.52,115.6,0.0,0.0,1558.0
2025-01-02 06:15:00,110.08,20.24,130.32,0.0,0.0,1558.0
2025-01-02 06:30:00,110.08,21.64,131.72,1.0,0.0,1198.0
2025-01-02 06:45:00,107.08,22.12,129.2,0.0,0.0,514.0
2025-01-02 07:00:00,103.08,22.88,125.96,0.0,240.0,16.0
2025-01-02 07:15:00,106.08,23.0,129.07999999999998,0.0,480.0,11.5
2025-01-02 07:30:00,107.08,22.12,129.2,0.0,480.0,122.0
2025-01-02 07:45:00,106.08,22.12,128.2,0.0,480.0,11.5
2025-01-02 08:00:00,101.08,22.88,123.96,0.0,240.0,11.5
2025-01-02 08:15:00,106.08,22.76,128.84,0.0,240.0,7.0
2025-01-02 08:30:00,107.08,22.24,129.32,1.0,240.0,7.0
2025-01-02 08:45:00,95.08,22.0,117.08,0.0,480.0,7.0
2025-01-02 09:00:00,91.08,23.0,114.08,-1.0,480.0,7.0
2025-01-02 09:15:00,96.08,22.88,118.96,1.0,480.0,7.0
2025-01-02 09:30:00,98.08,22.24,120.32,0.0,480.0,7.0
2025-01-02 09:45:00,96.08,22.64,118.72,0.0,240.0,7.0
2025-01-02 10:00:00,85.08,22.76,107.84,0.0,240.0,0.0
2025-01-02 10:15:00,96.08,22.88,118.96,1.0,480.0,0.0
2025-01-02 10:30:00,95.08,22.12,117.2,1.0,480.0,0.0
2025-01-02 10:45:00,90.08,22.4,112.47999999999999,1.0,480.0,0.0
2025-01-02 11:00:00,91.08,22.88,113.96,2.0,240.0,0.0
2025-01-02 11:15:00,95.08,21.88,116.96,1.0,240.0,0.0
2025-01-02 11:30:00,86.08,21.88,107.96,2.0,480.0,0.0
2025-01-02 11:45:00,86.08,21.76,107.84,4.0,480.0,0.0
2025-01-02 12:00:00,90.08,22.24,112.32,1.0,480.0,0.0
2025-01-02 12:15:00,93.08,22.12,115.2,2.0,240.0,0.0
2025-01-02 12:30:00,79.08,21.64,100.72,2.0,0.0,0.0
2025-01-02 12:45:00,84.08,21.64,105.72,2.0,0.0,0.0
2025-01-02 13:00:00,84.08,22.12,106.2,2.0,0.0,0.0
2025-01-02 13:15:00,78.08,22.24,100.32,2.0,0.0,0.0
2025-01-02 13:30:00,83.08,21.88,104.96,2.0,0.0,0.0
2025-01-02 13:45:00,75.08,22.4,97.47999999999999,3.0,0.0,0.0
2025-01-02 14:00:00,81.08,22.88,103.96,2.0,0.0,0.0
2025-01-02 14:15:00,80.08,22.88,102.96,1.0,0.0,0.0
2025-01-02 14:30:00,83.08,22.24,105.32,1.0,0.0,0.0
2025-01-02 14:45:00,88.08,22.24,110.32,1.0,0.0,0.0
2025-01-02 15:00:00,75.08,23.0,98.08,2.0,0.0,0.0
2025-01-02 15:15:00,76.08,22.88,98.96,0.0,0.0,0.0
2025-01-02 15:30:00,88.08,22.12,110.2,1.0,0.0,0.0
2025-01-02 15:45:00,79.08,22.52,101.6,1.0,0.0,0.0
2025-01-02 16:00:00,80.08,22.88,102.96,0.0,0.0,46.0
2025-01-02 16:15:00,80.08,22.76,102.84,0.0,0.0,46.0
2025-01-02 16:30:00,89.08,22.12,111.2,0.0,0.0,46.0
2025-01-02 16:45:00,96.08,22.52,118.6,0.0,0.0,46.0
2025-01-02 17:00:00,97.08,22.88,119.96,-1.0,0.0,46.0
2025-01-02 17:15:00,109.08,22.88,131.96,0.0,0.0,46.0
2025-01-02 17:30:00,95.08,22.64,117.72,0.0,0.0,46.0
2025-01-02 17:45:00,79.08,22.52,101.6,0.0,0.0,46.0
2025-01-02 18:00:00,62.08,22.76,84.84,1.0,0.0,46.0
2025-01-02 18:15:00,63.08,18.4,81.47999999999999,0.0,0.0,46.0
2025-01-02 18:30:00,62.08,17.88,79.96,0.0,0.0,46.0
2025-01-02 18:45:00,60.08,17.12,77.2,0.0,360.0,46.0
2025-01-02 19:00:00,59.08,18.0,77.08,0.0,360.0,46.0
2025-01-02 19:15:00,83.08,18.0,101.08,0.0,689.5999999999999,46.0
2025-01-02 19:30:00,112.08,17.52,129.6,0.0,689.5999999999999,46.0
2025-01-02 19:45:00,143.08,17.52,160.60000000000002,1.0,329.59999999999997,46.0
2025-01-02 20:00:00,135.08,17.88,152.96,0.0,360.0,32.5
2025-01-02 20:15:00,123.08,18.12,141.2,0.0,720.0,32.5
2025-01-02 20:30:00,109.08,18.12,127.2,0.0,720.0,32.5
2025-01-02 20:45:00,113.08,18.4,131.48,0.0,720.0,32.5
2025-01-02 21:00:00,115.08,18.64,133.72,0.0,360.0,32.5
2025-01-02 21:15:00,107.08,18.52,125.6,0.0,360.0,32.5
2025-01-02 21:30:00,106.08,18.0,124.08,0.0,0.0,32.5
2025-01-02 21:45:00,112.08,18.0,130.07999999999998,1.0,360.0,32.5
2025-01-02 22:00:00,112.08,18.64,130.72,0.0,720.0,111.5
2025-01-02 22:15:00,126.08,18.88,144.96,0.0,720.0,111.5
2025-01-02 22:30:00,118.08,18.12,136.2,0.0,720.0,111.5
2025-01-02 22:45:00,131.08,18.12,149.20000000000002,0.0,0.0,111.5
2025-01-02 23:00:00,129.08,26.4,155.48000000000002,0.0,0.0,107.0
2025-01-02 23:15:00,158.08,48.4,206.48000000000002,0.0,0.0,107.0
2025-01-02 23:30:00,191.08,78.24,269.32,1.0,360.0,107.0
2025-01-02 23:45:00,201.08,78.52,279.6,0.0,720.0,107.0
2025-01-03 00:00:00,179.08,78.64,257.72,0.0,360.0,110.0
2025-01-03 00:15:00,153.08,43.12,196.20000000000002,0.0,720.0,110.0
2025-01-03 00:30:00,139.08,26.76,165.84,0.0,360.0,110.0
2025-01-03 00:45:00,134.08,25.76,159.84,0.0,360.0,110.0
2025-01-03 01:00:00,157.08,50.4,207.48000000000002,0.0,0.0,110.0
2025-01-03 01:15:00,173.08,55.0,228.08,0.0,0.0,110.0
2025-01-03 01:30:00,158.08,44.76,202.84,1.0,0.0,110.0
2025-01-03 01:45:00,164.08,40.24,204.32000000000002,0.0,720.0,110.0
2025-01-03 02:00:00,162.08,52.64,214.72000000000003,0.0,720.0,101.0
2025-01-03 02:15:00,151.08,37.52,188.60000000000002,0.0,360.0,101.0
2025-01-03 02:30:00,186.08,68.76,254.84000000000003,0.0,360.0,101.0
2025-01-03 02:45:00,146.08,31.52,177.60000000000002,0.0,720.0,101.0
2025-01-03 03:00:00,156.08,42.12,198.20000000000002,0.0,360.0,92.0
2025-01-03 03:15:00,186.08,66.0,252.08,1.0,360.0,92.0
2025-01-03 03:30:00,175.08,53.64,228.72000000000003,0.0,360.0,92.0
2025-01-03 03:45:00,178.08,51.24,229.32000000000002,0.0,0.0,92.0
2025-01-03 04:00:00,161.08,53.64,214.72000000000003,0.0,0.0,66.0
2025-01-03 04:15:00,163.08,40.88,203.96,0.0,0.0,66.0
2025-01-03 04:30:00,150.08,21.12,171.20000000000002,0.0,0.0,66.0
2025-01-03 04:45:00,136.08,20.76,156.84,0.0,0.0,66.0
2025-01-03 05:00:00,138.08,21.0,159.08,1.0,0.0,25.5
2025-01-03 05:15:00,136.08,21.52,157.60000000000002,0.0,0.0,25.5
2025-01-03 05:30:00,136.08,18.12,154.20000000000002,0.0,0.0,1562.5
2025-01-03 05:45:00,151.08,18.52,169.60000000000002,0.0,0.0,1562.5
2025-01-03 06:00:00,138.08,18.88,156.96,0.0,0.0,1558.0
2025-01-03 06:15:00,151.08,21.12,172.20000000000002,0.0,0.0,1558.0
2025-01-03 06:30:00,140.08,22.76,162.84,0.0,0.0,1198.0
2025-01-03 06:45:00,152.08,22.88,174.96,0.0,0.0,514.0
2025-01-03 07:00:00,146.08,23.12,169.20000000000002,1.0,240.0,16.0
2025-01-03 07:15:00,162.08,22.76,184.84,0.0,480.0,11.5
2025-01-03 07:30:00,145.08,22.52,167.60000000000002,0.0,480.0,11.5
2025-01-03 07:45:00,145.08,22.24,167.32000000000002,0.0,480.0,11.5
2025-01-03 08:00:00,141.08,22.88,163.96,0.0,240.0,11.5
2025-01-03 08:15:00,127.08,22.76,149.84,0.0,240.0,7.0
2025-01-03 08:30:00,130.08,21.88,151.96,0.0,240.0,7.0
2025-01-03 08:45:00,151.08,22.4,173.48000000000002,0.0,480.0,7.0
2025-01-03 09:00:00,127.08,22.76,149.84,0.0,480.0,7.0
2025-01-03 09:15:00,137.08,22.88,159.96,0.0,480.0,7.0
2025-01-03 09:30:00,133.08,22.52,155.60000000000002,0.0,480.0,7.0
2025-01-03 09:45:00,128.08,22.4,150.48000000000002,0.0,240.0,7.0
2025-01-03 10:00:00,133.08,22.76,155.84,0.0,240.0,0.0
2025-01-03 10:15:00,130.08,23.0,153.08,0.0,480.0,0.0
2025-01-03 10:30:00,134.08,22.4,156.48000000000002,0.0,480.0,0.0
2025-01-03 10:45:00,138.08,22.24,160.32000000000002,0.0,480.0,0.0
2025-01-03 11:00:00,125.08,22.76,147.84,0.0,240.0,0.0
2025-01-03 11:15:00,137.08,22.76,159.84,0.0,240.0,0.0
2025-01-03 11:30:00,137.08,22.4,159.48000000000002,0.0,480.0,0.0
2025-01-03 11:45:00,114.08,22.24,136.32,0.0,480.0,0.0
2025-01-03 12:00:00,126.08,22.88,148.96,0.0,480.0,0.0
2025-01-03 12:15:00,117.08,23.12,140.2,0.0,240.0,0.0
2025-01-03 12:30:00,115.08,22.24,137.32,5.0,0.0,0.0
2025-01-03 12:45:00,117.08,22.52,139.6,7.0,0.0,0.0
2025-01-03 13:00:00,113.08,22.76,135.84,5.0,0.0,0.0
2025-01-03 13:15:00,113.08,23.52,136.6,5.0,0.0,0.0
2025-01-03 13:30:00,115.08,22.4,137.48,5.0,0.0,0.0
2025-01-03 13:45:00,123.08,22.24,145.32,5.0,0.0,0.0
2025-01-03 14:00:00,109.08,22.88,131.96,5.0,0.0,0.0
2025-01-03 14:15:00,118.08,23.0,141.07999999999998,4.0,0.0,0.0
2025-01-03 14:30:00,127.08,35.4,162.48,4.0,0.0,0.0
2025-01-03 14:45:00,166.08,62.88,228.96,4.0,0.0,0.0
2025-01-03 15:00:00,179.08,93.4,272.48,4.0,0.0,0.0
2025-01-03 15:15:00,150.08,46.52,196.60000000000002,3.0,0.0,0.0
2025-01-03 15:30:00,135.08,31.4,166.48000000000002,2.0,0.0,0.0
2025-01-03 15:45:00,148.08,39.52,187.60000000000002,2.0,0.0,0.0
2025-01-03 16:00:00,160.08,60.88,220.96,1.0,0.0,56.5
2025-01-03 16:15:00,172.08,68.4,240.48000000000002,0.0,0.0,56.5
2025-01-03 16:30:00,173.08,68.12,241.20000000000002,0.0,0.0,56.5
2025-01-03 16:45:00,180.08,66.0,246.08,-1.0,0.0,56.5
2025-01-03 17:00:00,163.08,67.0,230.08,0.0,0.0,56.5
2025-01-03 17:15:00,178.08,53.24,231.32000000000002,0.0,0.0,56.5
2025-01-03 17:30:00,184.08,57.88,241.96,0.0,0.0,56.5
2025-01-03 17:45:00,175.08,56.88,231.96,0.0,0.0,56.5
2025-01-03 18:00:00,172.08,54.76,226.84,0.0,0.0,56.5
2025-01-03 18:15:00,152.08,32.52,184.60000000000002,0.0,0.0,56.5
2025-01-03 18:30:00,137.08,28.52,165.60000000000002,0.0,0.0,56.5
2025-01-03 18:45:00,170.08,52.0,222.08,0.0,360.0,56.5
2025-01-03 19:00:00,187.08,69.52,256.6,1.0,360.0,56.5
2025-01-03 19:15:00,186.08,68.64,254.72000000000003,0.0,689.5999999999999,56.5
2025-01-03 19:30:00,179.08,59.0,238.08,0.0,689.5999999999999,56.5
2025-01-03 19:45:00,187.08,64.64,251.72000000000003,0.0,329.59999999999997,56.5
2025-01-03 20:00:00,195.08,66.64,261.72,0.0,360.0,43.0
2025-01-03 20:15:00,192.08,55.52,247.60000000000002,0.0,720.0,43.0
2025-01-03 20:30:00,200.08,67.52,267.6,0.0,720.0,43.0
2025-01-03 20:45:00,189.08,49.76,238.84,0.0,720.0,43.0
2025-01-03 21:00:00,185.08,52.52,237.60000000000002,1.0,360.0,43.0
2025-01-03 21:15:00,191.08,43.52,234.60000000000002,0.0,360.0,43.0
2025-01-03 21:30:00,183.08,37.24,220.32000000000002,0.0,0.0,43.0
2025-01-03 21:45:00,178.08,36.52,214.60000000000002,0.0,360.0,43.0
2025-01-03 22:00:00,188.08,48.64,236.72000000000003,0.0,720.0,110.0
2025-01-03 22:15:00,224.08,81.76,305.84000000000003,0.0,720.0,110.0
2025-01-03 22:30:00,219.08,79.4,298.48,0.0,720.0,110.0
2025-01-03 22:45:00,239.08,81.64,320.72,0.0,0.0,110.0
2025-01-03 23:00:00,205.08,85.4,290.48,1.0,0.0,110.0
2025-01-03 23:15:00,222.08,84.0,306.08000000000004,0.0,0.0,110.0
2025-01-03 23:30:00,216.08,86.88,302.96000000000004,0.0,360.0,110.0
2025-01-03 23:45:00,225.08,82.4,307.48,0.0,720.0,110.0
2025-01-04 00:00:00,205.08,84.4,289.48,0.0,0.0,107.0
2025-01-04 00:15:00,216.08,88.76,304.84000000000003,0.0,0.0,107.0
2025-01-04 00:30:00,231.08,94.12,325.20000000000005,0.0,0.0,107.0
2025-01-04 00:45:00,219.08,86.12,305.20000000000005,0.0,0.0,107.0
2025-01-04 01:00:00,163.08,41.64,204.72000000000003,1.0,0.0,102.5
2025-01-04 01:15:00,181.08,53.88,234.96,0.0,0.0,102.5
2025-01-04 01:30:00,211.08,78.12,289.20000000000005,0.0,0.0,102.5
2025-01-04 01:45:00,196.08,71.12,267.20000000000005,0.0,0.0,102.5
2025-01-04 02:00:00,195.08,74.0,269.08000000000004,0.0,0.0,89.0
2025-01-04 02:15:00,218.08,79.76,297.84000000000003,0.0,0.0,89.0
2025-01-04 02:30:00,214.08,76.88,290.96000000000004,0.0,0.0,89.0
2025-01-04 02:45:00,216.08,81.52,297.6,1.0,0.0,89.0
2025-01-04 03:00:00,219.08,90.88,309.96000000000004,0.0,0.0,84.5
2025-01-04 03:15:00,223.08,91.0,314.08000000000004,0.0,0.0,84.5
2025-01-04 03:30:00,215.08,86.88,301.96000000000004,0.0,0.0,84.5
2025-01-04 03:45:00,218.08,77.64,295.72,0.0,0.0,84.5
2025-01-04 04:00:00,208.08,81.0,289.08000000000004,0.0,0.0,61.0
2025-01-04 04:15:00,191.08,57.0,248.08,0.0,0.0,61.0
2025-01-04 04:30:00,171.08,34.76,205.84,0.0,0.0,61.0
2025-01-04 04:45:00,160.08,20.88,180.96,1.0,0.0,61.0
2025-01-04 05:00:00,145.08,21.76,166.84,0.0,0.0,20.5
2025-01-04 05:15:00,157.08,21.4,178.48000000000002,0.0,0.0,20.5
2025-01-04 05:30:00,151.08,20.76,171.84,0.0,0.0,1562.5
2025-01-04 05:45:00,139.08,18.24,157.32000000000002,0.0,0.0,1562.5
2025-01-04 06:00:00,138.08,18.4,156.48000000000002,0.0,0.0,1558.0
2025-01-04 06:15:00,141.08,21.0,162.08,0.0,0.0,1558.0
2025-01-04 06:30:00,127.08,22.12,149.2,0.0,0.0,1198.0
2025-01-04 06:45:00,123.08,22.52,145.6,1.0,0.0,514.0
2025-01-04 07:00:00,112.08,22.88,134.96,0.0,0.0,16.0
2025-01-04 07:15:00,124.08,22.76,146.84,0.0,0.0,11.5
2025-01-04 07:30:00,134.08,22.0,156.08,0.0,0.0,11.5
2025-01-04 07:45:00,125.08,22.12,147.2,0.0,0.0,11.5
2025-01-04 08:00:00,127.08,22.88,149.96,0.0,0.0,11.5
2025-01-04 08:15:00,136.08,22.64,158.72000000000003,0.0,0.0,7.0
2025-01-04 08:30:00,127.08,22.0,149.07999999999998,0.0,0.0,7.0
2025-01-04 08:45:00,117.08,22.24,139.32,0.0,0.0,7.0
2025-01-04 09:00:00,101.08,22.64,123.72,0.0,0.0,7.0
2025-01-04 09:15:00,101.08,22.64,123.72,0.0,0.0,7.0
2025-01-04 09:30:00,135.08,22.0,157.08,0.0,0.0,7.0
2025-01-04 09:45:00,138.08,21.76,159.84,0.0,0.0,7.0
2025-01-04 10:00:00,121.08,22.64,143.72,1.0,0.0,0.0
2025-01-04 10:15:00,118.08,22.52,140.6,0.0,0.0,0.0
2025-01-04 10:30:00,111.08,21.88,132.96,1.0,0.0,0.0
2025-01-04 10:45:00,119.08,22.12,141.2,1.0,0.0,0.0
2025-01-04 11:00:00,115.08,22.52,137.6,0.0,0.0,0.0
2025-01-04 11:15:00,111.08,23.0,134.07999999999998,2.0,0.0,0.0
2025-01-04 11:30:00,105.08,21.88,126.96,1.0,0.0,0.0
2025-01-04 11:45:00,101.08,22.12,123.2,1.0,0.0,0.0
2025-01-04 12:00:00,96.08,22.64,118.72,2.0,0.0,0.0
2025-01-04 12:15:00,92.08,11.88,103.96,2.0,0.0,0.0
2025-01-04 12:30:00,90.08,10.0,100.08,6.0,0.0,0.0
2025-01-04 12:45:00,70.08,9.88,79.96,4.0,0.0,0.0
2025-01-04 13:00:00,53.08,10.24,63.32,4.0,0.0,0.0
2025-01-04 13:15:00,60.08,10.64,70.72,5.0,0.0,0.0
2025-01-04 13:30:00,60.08,10.12,70.2,3.0,0.0,0.0
2025-01-04 13:45:00,60.08,9.88,69.96,3.0,0.0,0.0
2025-01-04 14:00:00,54.08,10.52,64.6,4.0,0.0,0.0
2025-01-04 14:15:00,56.08,10.24,66.32,3.0,0.0,0.0
2025-01-04 14:30:00,61.08,10.4,71.48,2.0,0.0,0.0
2025-01-04 14:45:00,75.08,9.88,84.96,2.0,0.0,0.0
2025-01-04 15:00:00,100.08,10.4,110.48,1.0,0.0,0.0
2025-01-04 15:15:00,110.08,10.88,120.96,0.0,0.0,0.0
2025-01-04 15:30:00,60.08,11.12,71.2,1.0,0.0,0.0
2025-01-04 15:45:00,50.08,10.24,60.32,1.0,0.0,0.0
2025-01-04 16:00:00,61.08,10.88,71.96,1.0,0.0,46.0
2025-01-04 16:15:00,62.08,11.0,73.08,0.0,0.0,46.0
2025-01-04 16:30:00,53.12,11.0,64.12,0.0,0.0,46.0
2025-01-04 16:45:00,50.08,10.4,60.48,0.0,0.0,46.0
2025-01-04 17:00:00,56.08,10.88,66.96,-1.0,0.0,46.0
2025-01-04 17:15:00,60.08,10.88,70.96,0.0,0.0,46.0
2025-01-04 17:30:00,64.08,10.52,74.6,0.0,0.0,46.0
2025-01-04 17:45:00,100.08,10.4,110.48,0.0,0.0,46.0
2025-01-04 18:00:00,107.08,10.88,117.96,1.0,0.0,46.0
2025-01-04 18:15:00,74.08,10.64,84.72,0.0,0.0,46.0
2025-01-04 18:30:00,58.08,10.88,68.96,0.0,0.0,46.0
2025-01-04 18:45:00,60.08,10.52,70.6,0.0,0.0,46.0
2025-01-04 19:00:00,57.08,10.64,67.72,0.0,0.0,46.0
2025-01-04 19:15:00,67.08,10.64,77.72,0.0,0.0,46.0
